연도,월,단속건수,부과금액_천원,전년동월대비증감비율,총상가수,건당평균부과금액_천원,단속건수_전월대비증감률,계절
2021,2,16421,658155,7.566825,52635,40.08008038487303,18.73,겨울
2021,3,21809,887194,14.64588,52635,40.680177908203035,32.81,봄
2021,4,19742,798416,13.404402,52635,40.442508357815825,-9.48,봄
2021,5,19438,803594,14.262414,52635,41.34139314744315,-1.54,봄
2021,6,20363,853352,15.147522,52635,41.90698816480872,4.76,여름
2021,7,18921,798427,14.581026,52635,42.197928227894934,-7.08,여름
2021,8,18628,789221,19.065617,52635,42.36745759072364,-1.55,여름
2021,9,18341,779200,15.490251,52635,42.48405212365738,-1.54,가을
2021,10,19192,819164,17.896994,52635,42.682576073363904,4.64,가을
2021,11,19748,836519,16.742535,52635,42.35968199311323,2.9,가을
2021,12,18801,804669,16.413269,52635,42.799265996489545,-4.8,겨울
2022,1,15895,685664,0.0,52635,43.13708713431897,-15.46,겨울
2022,2,13911,596824,11.103954,52635,42.90302638199986,-12.48,겨울
2022,3,16399,701992,0.0,52635,42.807000426855296,17.89,봄
2022,4,17683,750974,0.0,52635,42.46869875021207,7.83,봄
2022,5,19078,811717,0.0,52635,42.54727958905546,7.89,봄
2022,6,18418,779943,0.0,52635,42.346780323596484,-3.46,여름
2022,7,19217,815762,0.0,52635,42.450018213040536,4.34,여름
2022,8,19314,832758,0.0,52635,43.11680646163405,0.5,여름
2022,9,19355,827084,0.0,52635,42.732317230689745,0.21,가을
2022,10,18577,795418,0.0,52635,42.81735479356193,-4.02,가을
2022,11,19613,823637,0.0,52635,41.99444246163259,5.58,가을
2022,12,17545,795472,0.0,52635,45.338956967797095,-10.54,겨울
2023,1,16753,726897,-91.41738,52635,43.389064645138184,-4.51,겨울
2023,2,17259,720647,3.5405784,52635,41.7548525407034,3.02,겨울
2023,3,20671,852615,4.992763,52635,41.246915969232255,19.77,봄
2023,4,18119,755962,2.8972738,52635,41.72205971631988,-12.35,봄
2023,5,16890,690274,2.9355583,52635,40.8687981053878,-6.78,봄
2023,6,18467,848077,3.1441905,52635,45.92391834082417,9.34,여름
2023,7,18221,743998,6.9361596,52635,40.83189726140168,-1.33,여름
2023,8,18165,750087,3.5605183,52635,41.29298100743188,-0.31,여름
2023,9,17447,716722,0.18504609,52635,41.079956439502496,-3.95,가을
2023,10,18417,768162,4.8979297,52635,41.70939892490634,5.56,가을
2023,11,20590,856100,2.2220986,52635,41.57843613404565,11.8,가을
2023,12,18153,749865,5.524045,52635,41.30804825648653,-11.84,겨울
2024,1,19726,810545,13.499584,52635,41.09018554192436,8.67,겨울
2024,2,13878,570958,5.6257176,52635,41.14123072488831,-29.65,겨울
2024,3,18924,773957,1.2944489,52635,40.898171633904035,36.36,봄
2024,4,22065,892762,4.334203,52635,40.46054837978699,16.6,봄
2024,5,21280,851746,2.4207876,52635,40.025657894736845,-3.56,봄
2024,6,19637,788128,2.1354618,52635,40.13484748179457,-7.72,여름
2024,7,20596,814914,1.8810419,52635,39.56661487667508,4.88,여름
2024,8,19694,787657,2.2602937,52635,39.99476998070478,-4.38,여름
2024,9,18461,737594,7.5740695,52635,39.954173663398514,-6.26,가을
2024,10,22196,889243,-0.4085291,52635,40.06320958731303,20.23,가을
2024,11,19168,776845,-0.1716378,52635,40.52822412353923,-13.64,가을
2024,12,18368,752680,0.14333616,52635,40.977787456445995,-4.17,겨울
2025,1,16104,655857,2.3922768,52635,40.72634128166915,-12.33,겨울
2025,2,18577,749647,7.5689397,52635,40.35350164181515,15.36,겨울
2025,3,21860,872106,0.5061462,52635,39.895059469350414,17.67,봄
2025,4,22738,913389,-0.7997271,52635,40.17015568651596,4.02,봄
