행정동,실단속건수,민원비율,CCTV비율,재보정위험도점수,위험등급,고정CCTV건수,고정CCTV비율,CCTV공백지수,CCTV설치우선순위
금곡동,60,0.7333,0.2667,3.5,중위험,0.0,0.0,0.7333,높음
비봉면,108,0.5278,0.4722,2.53,저위험,0.0,0.0,0.5278,높음
방교동,4928,0.5793,0.4207,3.72,중위험,740.0,0.1502,0.4291,높음
장지동,1409,0.6636,0.3364,3.43,중위험,393.0,0.2789,0.3847,높음
송산동,1671,0.5787,0.4213,3.07,중위험,487.0,0.2914,0.2873,높음
매송면,352,0.2727,0.7273,1.36,저위험,0.0,0.0,0.2727,높음
정남면,262,0.3931,0.6031,1.91,저위험,39.0,0.1489,0.2442,높음
양감면,83,0.241,0.759,1.16,저위험,0.0,0.0,0.241,높음
기산동,444,0.3559,0.6441,1.78,저위험,81.0,0.1824,0.1735,높음
안녕동,1464,0.4344,0.5656,2.35,저위험,459.0,0.3135,0.1209,높음
진안동,9564,0.4029,0.5971,3.78,중위험,2851.0,0.2981,0.1048,높음
석우동,21408,0.3113,0.6887,5.67,중위험,5683.0,0.2655,0.0458,보통
영천동,18755,0.3697,0.6303,5.42,중위험,6318.0,0.3369,0.0328,보통
목동,3488,0.3544,0.6456,2.36,저위험,1396.0,0.4002,-0.0458,낮음
봉담읍,13743,0.29,0.71,4.06,중위험,6663.0,0.4848,-0.1948,낮음
송동,4624,0.3084,0.6916,2.36,저위험,2561.0,0.5538,-0.2454,낮음
송산면,1126,0.2034,0.7966,1.18,저위험,507.0,0.4503,-0.2469,낮음
반월동,1467,0.1397,0.8603,0.94,저위험,871.0,0.5937,-0.454,낮음
기안동,1068,0.1245,0.8755,0.79,저위험,629.0,0.589,-0.4645,낮음
마도면,543,0.2302,0.7698,1.2,저위험,394.0,0.7256,-0.4954,낮음
반송동,15783,0.2218,0.7782,4.13,중위험,11610.0,0.7356,-0.5138,낮음
우정읍,3598,0.0881,0.9119,1.12,저위험,2208.0,0.6137,-0.5256,낮음
산척동,9671,0.1877,0.8123,2.77,저위험,7543.0,0.78,-0.5923,낮음
병점동,6334,0.105,0.895,1.73,저위험,4441.0,0.7011,-0.5961,낮음
청계동,2157,0.1822,0.8178,1.28,저위험,1727.0,0.8006,-0.6184,낮음
신동,5542,0.113,0.887,1.61,저위험,4140.0,0.747,-0.634,낮음
남양읍,18763,0.1053,0.8947,4.16,중위험,13917.0,0.7417,-0.6364,낮음
능동,5269,0.0964,0.9036,1.48,저위험,3956.0,0.7508,-0.6544,낮음
오산동,18526,0.1169,0.8831,4.17,중위험,14500.0,0.7827,-0.6658,낮음
향남읍,33280,0.0783,0.9217,6.87,고위험,26070.0,0.7834,-0.7051,낮음
팔탄면,299,0.1137,0.8863,0.59,저위험,248.0,0.8294,-0.7157,낮음
서신면,1015,0.1074,0.8926,0.7,저위험,876.0,0.8631,-0.7557,낮음
장안면,242,0.1157,0.8843,0.59,저위험,214.0,0.8843,-0.7686,낮음
새솔동,6604,0.0554,0.9446,1.55,저위험,5658.0,0.8568,-0.8014,낮음
기배동,192,0.0,1.0,0.03,저위험,192.0,1.0,-1.0,낮음
