행정동,요일명,시간,단속건수
금곡동,금,1,1
금곡동,금,2,1
금곡동,금,19,5
금곡동,금,21,2
금곡동,목,0,1
금곡동,목,3,1
금곡동,목,11,1
금곡동,목,21,1
금곡동,목,22,1
금곡동,수,3,1
금곡동,수,17,1
금곡동,수,20,3
금곡동,수,21,1
금곡동,월,0,2
금곡동,월,16,8
금곡동,월,20,5
금곡동,월,22,1
금곡동,월,23,1
금곡동,일,1,1
금곡동,일,2,2
금곡동,일,4,2
금곡동,일,11,1
금곡동,일,12,1
금곡동,일,22,1
금곡동,일,23,1
금곡동,토,1,1
금곡동,토,9,1
금곡동,토,14,2
금곡동,토,15,1
금곡동,토,22,2
금곡동,화,0,1
금곡동,화,1,2
금곡동,화,20,1
금곡동,화,21,1
금곡동,화,22,2
기배동,금,7,1
기배동,금,10,2
기배동,금,11,1
기배동,금,12,5
기배동,금,13,2
기배동,금,14,1
기배동,금,15,1
기배동,금,16,1
기배동,금,17,5
기배동,금,18,9
기배동,금,19,6
기배동,금,20,7
기배동,금,21,3
기배동,목,10,2
기배동,목,11,1
기배동,목,12,5
기배동,목,13,2
기배동,목,14,2
기배동,목,15,1
기배동,목,16,3
기배동,목,17,3
기배동,목,18,3
기배동,목,19,6
기배동,목,20,9
기배동,목,21,2
기배동,수,7,2
기배동,수,8,2
기배동,수,11,2
기배동,수,12,2
기배동,수,14,2
기배동,수,15,3
기배동,수,17,1
기배동,수,18,4
기배동,수,19,3
기배동,수,20,5
기배동,수,21,4
기배동,월,8,2
기배동,월,10,2
기배동,월,11,2
기배동,월,12,8
기배동,월,13,2
기배동,월,14,3
기배동,월,15,1
기배동,월,16,2
기배동,월,17,3
기배동,월,18,3
기배동,월,19,4
기배동,월,20,7
기배동,월,21,2
기배동,일,9,1
기배동,일,15,3
기배동,일,16,1
기배동,일,18,1
기배동,토,9,1
기배동,토,10,5
기배동,토,15,1
기배동,토,16,1
기배동,화,7,2
기배동,화,8,1
기배동,화,11,2
기배동,화,12,2
기배동,화,13,2
기배동,화,18,4
기배동,화,19,5
기배동,화,20,3
기배동,화,21,3
기산동,금,1,2
기산동,금,7,4
기산동,금,8,6
기산동,금,9,1
기산동,금,10,1
기산동,금,11,1
기산동,금,13,3
기산동,금,15,7
기산동,금,16,9
기산동,금,17,15
기산동,금,18,6
기산동,금,19,5
기산동,금,20,4
기산동,금,21,9
기산동,금,23,1
기산동,목,0,1
기산동,목,7,6
기산동,목,8,5
기산동,목,9,3
기산동,목,10,4
기산동,목,11,3
기산동,목,13,2
기산동,목,15,3
기산동,목,16,5
기산동,목,17,9
기산동,목,19,4
기산동,목,20,7
기산동,수,7,3
기산동,수,8,14
기산동,수,9,1
기산동,수,10,5
기산동,수,11,2
기산동,수,13,1
기산동,수,14,4
기산동,수,15,5
기산동,수,16,12
기산동,수,17,16
기산동,수,18,6
기산동,수,19,4
기산동,수,20,12
기산동,수,21,1
기산동,월,0,1
기산동,월,7,1
기산동,월,9,3
기산동,월,10,9
기산동,월,11,2
기산동,월,12,2
기산동,월,15,9
기산동,월,16,11
기산동,월,17,9
기산동,월,18,3
기산동,월,19,10
기산동,월,20,16
기산동,월,21,5
기산동,일,7,1
기산동,일,8,1
기산동,일,9,10
기산동,일,10,8
기산동,일,12,2
기산동,일,13,3
기산동,일,14,5
기산동,일,15,3
기산동,일,16,7
기산동,일,17,4
기산동,일,20,1
기산동,일,23,1
기산동,토,9,1
기산동,토,10,4
기산동,토,12,1
기산동,토,13,7
기산동,토,14,3
기산동,토,15,3
기산동,토,16,2
기산동,토,17,1
기산동,화,7,8
기산동,화,8,4
기산동,화,9,4
기산동,화,10,11
기산동,화,11,4
기산동,화,13,1
기산동,화,15,7
기산동,화,16,7
기산동,화,17,15
기산동,화,18,4
기산동,화,19,3
기산동,화,20,14
기산동,화,21,1
기안동,금,7,11
기안동,금,8,26
기안동,금,9,4
기안동,금,10,13
기안동,금,11,2
기안동,금,14,9
기안동,금,15,13
기안동,금,16,4
기안동,금,17,3
기안동,금,18,7
기안동,금,19,13
기안동,금,20,19
기안동,금,21,15
기안동,목,7,11
기안동,목,8,27
기안동,목,9,7
기안동,목,10,11
기안동,목,12,2
기안동,목,13,1
기안동,목,15,7
기안동,목,16,8
기안동,목,17,9
기안동,목,18,8
기안동,목,19,9
기안동,목,20,21
기안동,목,21,12
기안동,목,22,1
기안동,수,7,6
기안동,수,8,26
기안동,수,9,11
기안동,수,10,13
기안동,수,11,7
기안동,수,13,7
기안동,수,14,12
기안동,수,15,10
기안동,수,16,13
기안동,수,17,4
기안동,수,18,6
기안동,수,19,13
기안동,수,20,10
기안동,수,21,12
기안동,수,22,1
기안동,월,2,1
기안동,월,7,14
기안동,월,8,78
기안동,월,9,6
기안동,월,10,4
기안동,월,11,6
기안동,월,12,3
기안동,월,13,4
기안동,월,14,7
기안동,월,15,14
기안동,월,16,10
기안동,월,17,15
기안동,월,18,8
기안동,월,19,7
기안동,월,20,13
기안동,월,21,8
기안동,일,1,1
기안동,일,9,23
기안동,일,10,7
기안동,일,11,2
기안동,일,12,4
기안동,일,13,3
기안동,일,14,5
기안동,일,15,51
기안동,일,16,27
기안동,일,17,19
기안동,일,18,1
기안동,일,20,1
기안동,일,21,1
기안동,토,9,25
기안동,토,10,17
기안동,토,11,1
기안동,토,12,2
기안동,토,13,1
기안동,토,14,1
기안동,토,15,61
기안동,토,16,28
기안동,토,17,16
기안동,토,18,1
기안동,토,23,1
기안동,화,7,12
기안동,화,8,36
기안동,화,9,6
기안동,화,10,2
기안동,화,11,8
기안동,화,13,2
기안동,화,14,14
기안동,화,15,10
기안동,화,16,20
기안동,화,17,6
기안동,화,18,8
기안동,화,19,5
기안동,화,20,7
기안동,화,21,9
기안동,화,23,2
남양읍,금,0,7
남양읍,금,1,2
남양읍,금,6,10
남양읍,금,7,337
남양읍,금,8,153
남양읍,금,9,439
남양읍,금,10,411
남양읍,금,11,33
남양읍,금,12,43
남양읍,금,13,20
남양읍,금,14,24
남양읍,금,15,704
남양읍,금,16,515
남양읍,금,17,489
남양읍,금,18,83
남양읍,금,19,139
남양읍,금,20,117
남양읍,금,21,74
남양읍,금,22,6
남양읍,금,23,2
남양읍,목,0,6
남양읍,목,1,1
남양읍,목,3,1
남양읍,목,6,5
남양읍,목,7,333
남양읍,목,8,151
남양읍,목,9,335
남양읍,목,10,368
남양읍,목,11,25
남양읍,목,12,61
남양읍,목,13,24
남양읍,목,14,21
남양읍,목,15,752
남양읍,목,16,484
남양읍,목,17,487
남양읍,목,18,69
남양읍,목,19,116
남양읍,목,20,132
남양읍,목,21,49
남양읍,목,22,6
남양읍,목,23,7
남양읍,수,0,1
남양읍,수,1,1
남양읍,수,3,1
남양읍,수,5,2
남양읍,수,6,10
남양읍,수,7,348
남양읍,수,8,152
남양읍,수,9,445
남양읍,수,10,438
남양읍,수,11,31
