요일명,시간,단속건수
금,0,66
금,1,35
금,2,29
금,3,22
금,4,9
금,5,15
금,6,104
금,7,2201
금,8,1480
금,9,2932
금,10,4596
금,11,637
금,12,518
금,13,522
금,14,524
금,15,4594
금,16,4271
금,17,3517
금,18,2008
금,19,2363
금,20,2923
금,21,1939
금,22,315
금,23,171
목,0,67
목,1,32
목,2,25
목,3,9
목,4,5
목,5,28
목,6,154
목,7,2069
목,8,1382
목,9,2915
목,10,5018
목,11,522
목,12,524
목,13,407
목,14,501
목,15,4664
목,16,4227
목,17,3454
목,18,2021
목,19,2434
목,20,3146
목,21,1814
목,22,226
목,23,147
수,0,62
수,1,42
수,2,24
수,3,21
수,4,9
수,5,24
수,6,123
수,7,2151
수,8,1465
수,9,3098
수,10,4870
수,11,677
수,12,547
수,13,470
수,14,452
수,15,4822
수,16,4318
수,17,3587
수,18,2217
수,19,2461
수,20,3206
수,21,2055
수,22,231
수,23,123
월,0,64
월,1,36
월,2,28
월,3,14
월,4,22
월,5,29
월,6,104
월,7,2086
월,8,1276
월,9,3422
월,10,5429
월,11,539
월,12,576
월,13,487
월,14,534
월,15,4754
월,16,4403
월,17,3434
월,18,1904
월,19,2148
월,20,2641
월,21,1620
월,22,200
월,23,107
일,0,109
일,1,72
일,2,58
일,3,30
일,4,14
일,5,16
일,6,35
일,7,54
일,8,157
일,9,1595
일,10,1094
일,11,264
일,12,319
일,13,357
일,14,400
일,15,4966
일,16,3303
일,17,2558
일,18,270
일,19,265
일,20,233
일,21,202
일,22,143
일,23,78
토,0,71
토,1,72
토,2,51
토,3,28
토,4,21
토,5,21
토,6,94
토,7,118
토,8,168
토,9,3637
토,10,2731
토,11,415
토,12,424
토,13,428
토,14,370
토,15,4562
토,16,3068
토,17,2569
토,18,334
토,19,302
토,20,311
토,21,268
토,22,200
토,23,108
화,0,64
화,1,58
화,2,27
화,3,25
화,4,10
화,5,36
화,6,103
화,7,2113
화,8,1503
화,9,3061
화,10,5462
화,11,629
화,12,513
화,13,470
화,14,523
화,15,4826
화,16,4296
화,17,3477
화,18,1929
화,19,2234
화,20,2737
화,21,1794
화,22,207
화,23,128
