행정동,실단속건수,민원건수,CCTV건수,민원비율,CCTV비율,실단속비율_정규화,실단속비율_점수,민원비율_점수,재보정위험도점수,위험등급
향남읍,33280,2607.0,30673,0.0783,0.9217,0.155629,10.0,1.07,6.87,고위험
석우동,21408,6664.0,14744,0.3113,0.6887,0.100111,6.43,4.25,5.67,중위험
영천동,18755,6933.0,11822,0.3697,0.6303,0.087705,5.63,5.04,5.42,중위험
오산동,18526,2166.0,16360,0.1169,0.8831,0.086634,5.56,1.59,4.17,중위험
남양읍,18763,1976.0,16787,0.1053,0.8947,0.087742,5.63,1.44,4.16,중위험
반송동,15783,3500.0,12283,0.2218,0.7782,0.073807,4.73,3.02,4.13,중위험
봉담읍,13743,3985.0,9758,0.29,0.71,0.064267,4.12,3.95,4.06,중위험
진안동,9564,3853.0,5711,0.4029,0.5971,0.044725,2.86,5.49,3.78,중위험
방교동,4928,2855.0,2073,0.5793,0.4207,0.023045,1.47,7.9,3.72,중위험
금곡동,60,44.0,16,0.7333,0.2667,0.000281,0.0,10.0,3.5,중위험
장지동,1409,935.0,474,0.6636,0.3364,0.006589,0.41,9.05,3.43,중위험
송산동,1671,967.0,704,0.5787,0.4213,0.007814,0.48,7.89,3.07,중위험
산척동,9671,1815.0,7856,0.1877,0.8123,0.045225,2.89,2.56,2.77,저위험
비봉면,108,57.0,51,0.5278,0.4722,0.000505,0.01,7.2,2.53,저위험
송동,4624,1426.0,3198,0.3084,0.6916,0.021623,1.37,4.21,2.36,저위험
목동,3488,1236.0,2252,0.3544,0.6456,0.016311,1.03,4.83,2.36,저위험
안녕동,1464,636.0,828,0.4344,0.5656,0.006846,0.42,5.92,2.35,저위험
정남면,262,103.0,158,0.3931,0.6031,0.001225,0.06,5.36,1.91,저위험
기산동,444,158.0,286,0.3559,0.6441,0.002076,0.12,4.85,1.78,저위험
병점동,6334,665.0,5669,0.105,0.895,0.02962,1.89,1.43,1.73,저위험
신동,5542,626.0,4916,0.113,0.887,0.025916,1.65,1.54,1.61,저위험
새솔동,6604,366.0,6238,0.0554,0.9446,0.030883,1.97,0.76,1.55,저위험
능동,5269,508.0,4761,0.0964,0.9036,0.02464,1.57,1.31,1.48,저위험
매송면,352,96.0,256,0.2727,0.7273,0.001646,0.09,3.72,1.36,저위험
청계동,2157,393.0,1764,0.1822,0.8178,0.010087,0.63,2.48,1.28,저위험
마도면,543,125.0,418,0.2302,0.7698,0.002539,0.15,3.14,1.2,저위험
송산면,1126,229.0,897,0.2034,0.7966,0.005266,0.32,2.77,1.18,저위험
양감면,83,20.0,63,0.241,0.759,0.000388,0.01,3.29,1.16,저위험
우정읍,3598,317.0,3281,0.0881,0.9119,0.016826,1.07,1.2,1.12,저위험
반월동,1467,205.0,1262,0.1397,0.8603,0.00686,0.42,1.91,0.94,저위험
기안동,1068,133.0,935,0.1245,0.8755,0.004994,0.3,1.7,0.79,저위험
서신면,1015,109.0,906,0.1074,0.8926,0.004746,0.29,1.46,0.7,저위험
장안면,242,28.0,214,0.1157,0.8843,0.001132,0.05,1.58,0.59,저위험
팔탄면,299,34.0,265,0.1137,0.8863,0.001398,0.07,1.55,0.59,저위험
기배동,192,0.0,192,0.0,1.0,0.000898,0.04,0.0,0.03,저위험
