행정동,모퉁이·교차로,버스정류소,소화전,인도,횡단보도,통행불편지수,민원_위반유형_건수,실단속건수,재보정위험도점수,위험등급
정남면,7,2,43,15,7,1.823,74,262,1.91,저위험
서신면,2,1,19,17,18,1.8228,57,1015,0.7,저위험
우정읍,22,0,101,63,88,1.8208,274,3598,1.12,저위험
향남읍,283,99,390,395,1133,1.8157,2300,33280,6.87,고위험
매송면,20,13,11,6,33,1.7711,83,352,1.36,저위험
마도면,7,2,10,49,54,1.7533,122,543,1.2,저위험
양감면,5,4,1,1,7,1.75,18,83,1.16,저위험
기안동,4,1,0,13,18,1.7306,36,1068,0.79,저위험
송산동,97,3,11,89,215,1.7058,415,1671,3.07,중위험
봉담읍,693,66,355,411,927,1.6901,2452,13743,4.06,중위험
병점동,47,15,8,102,110,1.6858,282,6334,1.73,저위험
송산면,73,7,11,13,98,1.6787,202,1126,1.18,저위험
반월동,4,4,1,56,29,1.6681,94,1467,0.94,저위험
남양읍,570,7,151,355,786,1.661,1869,18763,4.16,중위험
팔탄면,0,6,3,19,0,1.6607,28,299,0.59,저위험
비봉면,1,4,0,33,12,1.654,50,108,2.53,저위험
장안면,0,1,0,19,7,1.6481,27,242,0.59,저위험
진안동,357,19,181,943,640,1.6462,2140,9564,3.78,중위험
안녕동,57,4,5,151,93,1.6094,310,1464,2.35,저위험
새솔동,165,7,46,17,117,1.6009,352,6604,1.55,저위험
기산동,7,0,0,22,7,1.5389,36,444,1.78,저위험
석우동,1,0,0,0,0,1.2,1,21408,5.67,중위험
